Latitude;Longitude;rp100;rp1000
57,4691;-6,4322;0;0
43,0093868;-9,1729642;0;0
36,539;-5,3868;0;0
4,8626;-52,2748;0,841883421;0,922539294
41,7477239;15,0063444;0;0
41,8307962;-1,4639905;0;0
40,5407011;-7,3901101;0;0
35,4699992;-118,9787548;0;0
42,2599043;12,7459466;0;0
45,7878014;7,3894747;0;0
42,5210949;12,5210347;1,110166907;1,432329655
40,7342;-1,6172;0;0
51,0915;13,6098;0,950603962;1,226612568
44,2426041;0,0278158;0;0
51,8413;19,3939;0;0
38,31986237;23,32289696;0;0
45,8061266;7,5867029;0;0
32,6097;-85,0805;2,620219707;3,757264614
53,4383368;8,7182926;0,024218891;0,033927232
49,132;18,9114;0,372389674;0,653817177
49,1072;18,9916;0,372389674;0,653817177
56,9162;12,8229;0,051290084;0,07353507
55,8846;13,9647;0;0
52,4295;14,6829;0;0
41,6704;-3,6892;0,532844007;0,878351688
42,9684;-7,0854;0;0
37,5076;-7,2704;0;0
60,4;15,8;0,332367122;0,468614101
42,3441564;-3,7122026;0;0
41,6785062;15,5836382;0;0
64,6167;28,4833;0,012132542;0,014318679
39,8667;-1,2167;0;0
51,6823064;4,3248971;0,283928156;0,375386178
34,4022861;-116,959147;0;0
37,82285;13,56658;0;0
37,8924212;13,08979;0;0
53,4866338;12,158654;0;0
57,3665;-2,8661;0;0
43,9957049;5,9328442;2,087565422;2,963391542
52,3094;19,0603;0;0
42,904;-8,7427;0;0
62,0272;14,284;0,303460598;0,498766482
43,3126;-7,9146;0;0
46,46252823;27,94892311;0;0
42,0411031;-0,5866272;0;0
43,8612231;2,0915472;0;0
41,9184504;-1,2657695;0,278069079;0,379282951
58,743;17,0006;0,011755341;0,016230796
61,0831;14,3167;0,207297295;0,298873723
62,5167;15,7833;0,339170933;0,588608742
58,3557;12,3729;0;0
40,666511;15,9149107;0;0
42,4;-8,4333;0;0
42,45;-70,9739;0,378433466;0,525387406
41,8721533;14,4117219;0;0
41,8341;-1,5327;0;0
42,4171;-7,7498;1,495377541;2,200577736
40,9333096;15,9773943;0;0
41,7316713;14,6845356;0;0
41,7379826;-7,8558338;0;0
42,592;-1,3604;0;0
43,1653;-9,1125;1,292383194;2,078564644
40,8823494;15,1031024;0;0
42,0208;-6,417;0;0
51,7158;16,9196;0;0
59,8386;13,5436;0,351857483;0,569882751
65,8453;21,5545;0,152448267;0,264448941
53,4201;-1,3985;0,045534119;0,060709957
33,1800162;131,6209362;0,373715222;0,501106739
44,9470155;28,8393687;0,18654868;0,301279932
63,8776735;-22,4569057;0;0
39,59075165;141,4369202;0;0
33,9228007;-116,5474459;0;0
40,7947;-0,8101;0,320986092;0,466933995
61,3468;16,075;0,103786662;0,128275275
41,0337;-2,1434;0;0
42,2868115;-3,6234437;0;0
43,4274852;28,326313;0,211155385;0,28463006
45,68391;7,7177931;0;0
49,2594;18,6815;0,372389674;0,653817177
42,6609;-8,1129;0;0
42,0330088;13,7721149;0;0
42,0471797;-0,9116126;0;0
38,8346;-1,4603;0;0
45,7507287;7,6082145;0,484714121;0,609210491
42,5794;-6,4684;0;0
43,4850462;-6,5285995;0,103641838;0,124544628
43,4802295;-6,2990643;0;0
42,773;-8,8444;0;0
30,8349;-81,5636;0,227303803;0,321351528
32,3524;-84,9688;2,822288513;4,035085678
33,3866;-82,1401;0;0
31,9047;-81,5954;0;0
51,843;16,7103;0;0
54,01;15,6851;0;0
50,5355;17,1067;0;0
52,4903;13,8299;0,523706615;0,654477954
53,8014;14,6282;0,138934016;0,194923908
60,5638;17,4422;0,187583521;0,273148149
40,1669;-4,4048;0;0
39,2333;-1,75;0;0
44,9396012;-75,3686988;3,88825798;4,7660532
37,916616;14,3507994;0;0
39,1692145;-2,2640172;0;0
41,8244277;15,3621516;0,061951682;0,085353196
41,31689;15,40807;0;0
39,7541222;-8,8410639;0;0
